Di-photon ACC,Di-photon AUC,ZZ->4l ACC,ZZ->4l AUC,Luminosity (fb^-1),Model type,Model Name,Za ACC,Za AUC
0.6674,0.726217435,0.6479,0.695143665,300.0,Event-CNN,quark_jet_2_cut_eventCNN_L_300_wo_a_case1_phi_aug_10_09,0.67595,0.73140315
0.6841,0.743860595,0.65975,0.7105138400000001,300.0,Event-CNN,quark_jet_2_cut_eventCNN_L_300_wo_a_case1_phi_aug_10_10,0.684,0.74176193
0.6816,0.7446381300000001,0.6639,0.72004366,900.0,Event-CNN,quark_jet_2_cut_eventCNN_L_900_wo_a_case1_phi_aug_10_01,0.6827,0.743645565
0.6733,0.72743593,0.64755,0.6973811050000001,900.0,Event-CNN,quark_jet_2_cut_eventCNN_L_900_wo_a_case1_phi_aug_10_02,0.68085,0.74077423
0.68065,0.73453445,0.64995,0.70422674,900.0,Event-CNN,quark_jet_2_cut_eventCNN_L_900_wo_a_case1_phi_aug_10_03,0.674,0.72935846
0.66815,0.72019947,0.64165,0.686516765,900.0,Event-CNN,quark_jet_2_cut_eventCNN_L_900_wo_a_case1_phi_aug_10_04,0.661,0.715480395
0.6818,0.7387342650000001,0.6478,0.6995350250000001,900.0,Event-CNN,quark_jet_2_cut_eventCNN_L_900_wo_a_case1_phi_aug_10_05,0.6616,0.710939985
0.66695,0.7237757799999999,0.65475,0.70468595,900.0,Event-CNN,quark_jet_2_cut_eventCNN_L_900_wo_a_case1_phi_aug_10_06,0.67995,0.7380263100000001
0.6863,0.7431677699999999,0.6634,0.7170624800000001,900.0,Event-CNN,quark_jet_2_cut_eventCNN_L_900_wo_a_case1_phi_aug_10_07,0.67605,0.73311299
0.6744,0.7335855750000001,0.64875,0.6996790749999999,900.0,Event-CNN,quark_jet_2_cut_eventCNN_L_900_wo_a_case1_phi_aug_10_08,0.6891,0.7477600200000001
0.6699,0.72452433,0.65235,0.7040015850000001,900.0,Event-CNN,quark_jet_2_cut_eventCNN_L_900_wo_a_case1_phi_aug_10_09,0.68315,0.7374531499999999
0.6819,0.741658715,0.6598,0.71311013,900.0,Event-CNN,quark_jet_2_cut_eventCNN_L_900_wo_a_case1_phi_aug_10_10,0.6907,0.75071936
0.67585,0.73286115,0.66325,0.71219387,1800.0,Event-CNN,quark_jet_2_cut_eventCNN_L_1800_wo_a_case1_phi_aug_10_01,0.6834,0.7426169049999999
